model,split,hit@1,hit@5,hit@10,mrr,macro_f1
MFU,val,0.21942110177404295,0.6274509803921569,0.7301587301587301,0.389092976125155,0.011995916283818273
MFU,test,0.24013722126929674,0.6792452830188679,0.8010291595197255,0.42942245093229453,0.016838054002044623
MRU,val,0.5592903828197946,0.6956115779645191,0.8776844070961718,0.6186802480431185,0.49323460140544806
MRU,test,0.5042881646655232,0.6689536878216124,0.8713550600343053,0.5732613603452987,0.4715734486483969
HourMFU,val,0.19047619047619047,0.6554621848739496,0.7357609710550888,0.38858223457762664,0.026367779845602426
HourMFU,test,0.24356775300171526,0.7358490566037735,0.8404802744425386,0.44267766637549955,0.0462129293211105
Markov1,val,0.5583566760037348,0.8048552754435108,0.8702147525676938,0.6713713035330179,0.41407783289909744
Markov1,test,0.4957118353344768,0.8078902229845626,0.8799313893653516,0.6352637950070562,0.34256030015705097
GRU,val,0.6143790849673203,0.8608776844070962,0.9066293183940243,0.7240322851817615,0.5011281440900839
GRU,test,0.6020583190394511,0.8404802744425386,0.9108061749571184,0.7067725272186405,0.5422644456817107
TGT,val,0.5564892623716153,0.830999066293184,0.8814192343604108,0.678487106504621,0.40636613242653646
TGT,test,0.5128644939965694,0.8078902229845626,0.8782161234991424,0.6421648629729934,0.4846691059743831
