model,split,precision@5,recall@5,f1@5,event_hit@5,coverage@5,jaccard@5
MFU,val,0.2618834080717489,0.6314541960281871,0.344597803790629,0.6570148852903418,0.4327354260089686,0.23034557619759413
MFU,test,0.27730496453900716,0.6045930428909152,0.35448430608005077,0.6217507378700717,0.3900709219858156,0.24414752898795453
MRU,val,0.20358744394618833,0.5554238735853085,0.27964963536712417,0.5656786931828363,0.34977578475336324,0.1725256245996156
MRU,test,0.18936170212765957,0.4614150624788922,0.2504707664282132,0.4651902710644616,0.25886524822695034,0.15520657435551052
HourMFU,val,0.26816143497757855,0.6591447789878282,0.35492060256634245,0.6885906525723872,0.4439461883408072,0.23508078866823265
HourMFU,test,0.2964539007092199,0.6675954069571091,0.3827714838353136,0.6890688280951927,0.4645390070921986,0.26484999437127094
Markov1,val,0.284304932735426,0.7207292333973948,0.3808482001307114,0.7425930959544251,0.5022421524663677,0.25201615773364655
Markov1,test,0.2893617021276596,0.6788838230327592,0.37791312312588915,0.6879810205897162,0.5,0.25928599572216593
GRU,val,0.27668161434977584,0.672149263292761,0.36556322352286474,0.6961195169793838,0.45739910313901344,0.24419798562175243
GRU,test,0.27163120567375887,0.6229145558932792,0.35318713988926753,0.6406514559035373,0.41843971631205673,0.23969238995834743
TGT,val,0.2645739910313902,0.6518204142643604,0.3505210658798103,0.6814507941530394,0.44170403587443946,0.23267314399601396
TGT,test,0.2638297872340426,0.6042384329618373,0.3427072139838097,0.6143023174533351,0.3900709219858156,0.23015028706518068
